old_genotype,genotype,population,ancestry,plant_number,rep_number,planting_date,DAP,leaf_number,plant_width,longest_leaf_length,bolting_date,days_to_bolting,round,location,plants_remove,rel_DAP
1.13,NY_26,1,northern_eurasian,1,1,6/22/23,19,11,11.5,6.1,7/19/23,27,2,NY,1,0.3064516129032258
1.13,NY_26,1,northern_eurasian,1,1,6/22/23,20,14,13.5,9.3,7/19/23,27,2,NY,1,0.3225806451612903
1.13,NY_26,1,northern_eurasian,1,1,6/22/23,22,14,14.6,9.7,7/19/23,27,2,NY,1,0.3548387096774194
1.13,NY_26,1,northern_eurasian,1,1,6/22/23,25,18,20.8,11.3,7/19/23,27,2,NY,1,0.4032258064516129
1.13,NY_26,1,northern_eurasian,1,1,6/22/23,27,19,21.2,11.4,7/19/23,27,2,NY,1,0.43548387096774194
1.13,NY_26,1,northern_eurasian,2,1,6/22/23,41,3,0,0,8/23/23,62,2,NY,2,0.6612903225806451
1.13,NY_26,1,northern_eurasian,2,1,6/22/23,46,3,0,0,8/23/23,62,2,NY,2,0.7419354838709677
1.13,NY_26,1,northern_eurasian,2,1,6/22/23,48,4,0,0,8/23/23,62,2,NY,2,0.7741935483870968
1.13,NY_26,1,northern_eurasian,2,1,6/22/23,50,5,1.3,0.6,8/23/23,62,2,NY,2,0.8064516129032258
1.13,NY_26,1,northern_eurasian,2,1,6/22/23,62,5,1.8,1,8/23/23,62,2,NY,2,1
1.13,NY_26,1,northern_eurasian,1,2,6/22/23,19,16,13.8,8.3,7/19/23,27,2,NY,3,0.3064516129032258
1.13,NY_26,1,northern_eurasian,1,2,6/22/23,20,23,15.6,9.3,7/19/23,27,2,NY,3,0.3225806451612903
1.13,NY_26,1,northern_eurasian,1,2,6/22/23,22,23,16.3,9.6,7/19/23,27,2,NY,3,0.3548387096774194
1.13,NY_26,1,northern_eurasian,1,2,6/22/23,25,28,21,11.4,7/19/23,27,2,NY,3,0.4032258064516129
1.13,NY_26,1,northern_eurasian,1,2,6/22/23,27,34,21.7,11.4,7/19/23,27,2,NY,3,0.43548387096774194
2.27,NY_41,2,northern_eurasian,1,1,6/22/23,19,4,1.3,0.8,8/9/23,48,2,NY,4,0.3064516129032258
2.27,NY_41,2,northern_eurasian,1,1,6/22/23,20,6,13,0.8,8/9/23,48,2,NY,4,0.3225806451612903
2.27,NY_41,2,northern_eurasian,1,1,6/22/23,22,6,1.4,0.8,8/9/23,48,2,NY,4,0.3548387096774194
2.27,NY_41,2,northern_eurasian,1,1,6/22/23,25,7,2.1,1.1,8/9/23,48,2,NY,4,0.4032258064516129
2.27,NY_41,2,northern_eurasian,1,1,6/22/23,27,7,2.5,1.7,8/9/23,48,2,NY,4,0.43548387096774194
2.27,NY_41,2,northern_eurasian,1,1,6/22/23,29,9,3.6,2.4,8/9/23,48,2,NY,4,0.46774193548387094
2.27,NY_41,2,northern_eurasian,1,1,6/22/23,32,9,5.7,3.5,8/9/23,48,2,NY,4,0.5161290322580645
2.27,NY_41,2,northern_eurasian,1,1,6/22/23,34,10,7.8,5.3,8/9/23,48,2,NY,4,0.5483870967741935
2.27,NY_41,2,northern_eurasian,1,1,6/22/23,36,11,9.9,6.7,8/9/23,48,2,NY,4,0.5806451612903226
2.27,NY_41,2,northern_eurasian,1,1,6/22/23,39,11,13.4,7.1,8/9/23,48,2,NY,4,0.6290322580645161
2.27,NY_41,2,northern_eurasian,1,1,6/22/23,41,15,14.1,8.5,8/9/23,48,2,NY,4,0.6612903225806451
2.27,NY_41,2,northern_eurasian,1,1,6/22/23,46,15,14.1,8.5,8/9/23,48,2,NY,4,0.7419354838709677
2.27,NY_41,2,northern_eurasian,1,1,6/22/23,48,5,0,0,8/9/23,48,2,NY,4,0.7741935483870968
2.27,NY_41,2,northern_eurasian,1,2,6/22/23,19,0,0,0,8/9/23,48,2,NY,5,0.3064516129032258
2.27,NY_41,2,northern_eurasian,1,2,6/22/23,20,5,1.5,0.7,8/9/23,48,2,NY,5,0.3225806451612903
2.27,NY_41,2,northern_eurasian,1,2,6/22/23,22,5,1.5,0.7,8/9/23,48,2,NY,5,0.3548387096774194
2.27,NY_41,2,northern_eurasian,1,2,6/22/23,25,10,4,2.4,8/9/23,48,2,NY,5,0.4032258064516129
2.27,NY_41,2,northern_eurasian,1,2,6/22/23,27,10,5.3,3.4,8/9/23,48,2,NY,5,0.43548387096774194
2.27,NY_41,2,northern_eurasian,1,2,6/22/23,29,11,7.5,4.2,8/9/23,48,2,NY,5,0.46774193548387094
2.27,NY_41,2,northern_eurasian,1,2,6/22/23,32,11,11.7,6.1,8/9/23,48,2,NY,5,0.5161290322580645
2.27,NY_41,2,northern_eurasian,1,2,6/22/23,34,13,12,7.1,8/9/23,48,2,NY,5,0.5483870967741935
2.27,NY_41,2,northern_eurasian,1,2,6/22/23,36,14,12.8,7.1,8/9/23,48,2,NY,5,0.5806451612903226
2.27,NY_41,2,northern_eurasian,1,2,6/22/23,39,14,12.8,7.1,8/9/23,48,2,NY,5,0.6290322580645161
2.27,NY_41,2,northern_eurasian,1,2,6/22/23,41,16,13.1,7.1,8/9/23,48,2,NY,5,0.6612903225806451
2.27,NY_41,2,northern_eurasian,1,2,6/22/23,46,16,13.1,7.1,8/9/23,48,2,NY,5,0.7419354838709677
2.3,NY_42,2,northern_eurasian,1,2.2,6/22/23,19,7,4.3,2.5,7/28/23,36,2,NY,5.2,0.5588235294117647
2.3,NY_42,2,northern_eurasian,1,2.2,6/22/23,20,9,4.5,3,7/28/23,36,2,NY,5.2,0.5882352941176471
2.3,NY_42,2,northern_eurasian,1,2.2,6/22/23,22,9,4.5,4.5,7/28/23,36,2,NY,5.2,0.6470588235294118
2.3,NY_42,2,northern_eurasian,1,2.2,6/22/23,25,11,11.1,6.7,7/28/23,36,2,NY,5.2,0.7352941176470589
2.3,NY_42,2,northern_eurasian,1,2.2,6/22/23,27,12,14.7,8,7/28/23,36,2,NY,5.2,0.7941176470588235
2.3,NY_42,2,northern_eurasian,1,2.2,6/22/23,29,13,17.5,9.5,7/28/23,36,2,NY,5.2,0.8529411764705882
2.3,NY_42,2,northern_eurasian,1,2.2,6/22/23,32,14,18.1,9.5,7/28/23,36,2,NY,5.2,0.9411764705882353
2.3,NY_42,2,northern_eurasian,1,2.2,6/22/23,34,17,18.3,10.2,7/28/23,36,2,NY,5.2,1
5.61,NY_48,5,northern_eurasian,1,1,6/22/23,19,9,2.4,1.8,7/31/23,39,2,NY,6,0.5277777777777778
5.61,NY_48,5,northern_eurasian,1,1,6/22/23,20,10,3,2.2,7/31/23,39,2,NY,6,0.5555555555555556
5.61,NY_48,5,northern_eurasian,1,1,6/22/23,22,12,3.1,3.4,7/31/23,39,2,NY,6,0.6111111111111112
5.61,NY_48,5,northern_eurasian,1,1,6/22/23,25,15,8.1,4.8,7/31/23,39,2,NY,6,0.6944444444444444
5.61,NY_48,5,northern_eurasian,1,1,6/22/23,27,22,13.6,7.3,7/31/23,39,2,NY,6,0.75
5.61,NY_48,5,northern_eurasian,1,1,6/22/23,29,22,14.4,8.1,7/31/23,39,2,NY,6,0.8055555555555556
5.61,NY_48,5,northern_eurasian,1,1,6/22/23,32,22,17.9,9.6,7/31/23,39,2,NY,6,0.8888888888888888
5.61,NY_48,5,northern_eurasian,1,1,6/22/23,34,22,18.1,10.2,7/31/23,39,2,NY,6,0.9444444444444444
5.61,NY_48,5,northern_eurasian,1,1,6/22/23,36,23,18.1,10.6,7/31/23,39,2,NY,6,1
5.61,NY_48,5,northern_eurasian,1,2,6/22/23,19,10,2.7,1.4,7/31/23,39,2,NY,7,0.5277777777777778
5.61,NY_48,5,northern_eurasian,1,2,6/22/23,20,12,4.2,2.8,7/31/23,39,2,NY,7,0.5555555555555556
5.61,NY_48,5,northern_eurasian,1,2,6/22/23,22,12,4.2,2.8,7/31/23,39,2,NY,7,0.6111111111111112
5.61,NY_48,5,northern_eurasian,1,2,6/22/23,25,16,11.5,6.7,7/31/23,39,2,NY,7,0.6944444444444444
5.61,NY_48,5,northern_eurasian,1,2,6/22/23,27,23,17.2,9.5,7/31/23,39,2,NY,7,0.75
5.61,NY_48,5,northern_eurasian,1,2,6/22/23,29,23,18.5,10,7/31/23,39,2,NY,7,0.8055555555555556
5.61,NY_48,5,northern_eurasian,1,2,6/22/23,32,23,18.5,10,7/31/23,39,2,NY,7,0.8888888888888888
5.61,NY_48,5,northern_eurasian,1,2,6/22/23,34,25,20.8,11.1,7/31/23,39,2,NY,7,0.9444444444444444
5.65,NY_49,5,northern_eurasian,1,2,6/22/23,19,0,0,0,8/9/23,48,2,NY,8,0.41304347826086957
5.65,NY_49,5,northern_eurasian,1,2,6/22/23,20,5,0,0,8/9/23,48,2,NY,8,0.43478260869565216
5.65,NY_49,5,northern_eurasian,1,2,6/22/23,22,6,0,0,8/9/23,48,2,NY,8,0.4782608695652174
5.65,NY_49,5,northern_eurasian,1,2,6/22/23,25,7,2.2,1.6,8/9/23,48,2,NY,8,0.5434782608695652
5.65,NY_49,5,northern_eurasian,1,2,6/22/23,27,8,2.5,1.6,8/9/23,48,2,NY,8,0.5869565217391305
5.65,NY_49,5,northern_eurasian,1,2,6/22/23,29,8,3.7,2.2,8/9/23,48,2,NY,8,0.6304347826086957
5.65,NY_49,5,northern_eurasian,1,2,6/22/23,32,8,4.5,3.6,8/9/23,48,2,NY,8,0.6956521739130435
5.65,NY_49,5,northern_eurasian,1,2,6/22/23,34,10,8,5,8/9/23,48,2,NY,8,0.7391304347826086
5.65,NY_49,5,northern_eurasian,1,2,6/22/23,36,10,10,5.9,8/9/23,48,2,NY,8,0.782608696
5.65,NY_49,5,northern_eurasian,1,2,6/22/23,39,10,10.8,6.1,8/9/23,48,2,NY,8,0.8478260869565217
5.65,NY_49,5,northern_eurasian,1,2,6/22/23,41,14,11.7,6.5,8/9/23,48,2,NY,8,0.8913043478260869
5.65,NY_49,5,northern_eurasian,1,2,6/22/23,46,14,11.7,6.7,8/9/23,48,2,NY,8,1
6.83,NY_52,6,northern_eurasian,1,1,6/22/23,19,11,11,6.2,7/24/23,32,2,NY,9,0.6551724137931034
6.83,NY_52,6,northern_eurasian,1,1,6/22/23,20,13,12,6.8,7/24/23,32,2,NY,9,0.6896551724137931
6.83,NY_52,6,northern_eurasian,1,1,6/22/23,22,14,14,8.2,7/24/23,32,2,NY,9,0.7586206896551724
6.83,NY_52,6,northern_eurasian,1,1,6/22/23,25,18,21.5,10.7,7/24/23,32,2,NY,9,0.8620689655172413
6.83,NY_52,6,northern_eurasian,1,1,6/22/23,27,21,22.5,11.4,7/24/23,32,2,NY,9,0.9310344827586207
6.83,NY_52,6,northern_eurasian,1,1,6/22/23,29,21,23.3,12.6,7/24/23,32,2,NY,9,1
6.83,NY_52,6,northern_eurasian,1,2,6/22/23,19,19,11.7,6.5,7/24/23,32,2,NY,10,0.6551724137931034
6.83,NY_52,6,northern_eurasian,1,2,6/22/23,20,23,13.4,7.2,7/24/23,32,2,NY,10,0.6896551724137931
6.83,NY_52,6,northern_eurasian,1,2,6/22/23,22,24,15.2,10.1,7/24/23,32,2,NY,10,0.7586206896551724
6.83,NY_52,6,northern_eurasian,1,2,6/22/23,25,32,20,10.7,7/24/23,32,2,NY,10,0.8620689655172413
